,,,,,,,Days Of,Connection Flight,,
Origin,Destination,Flight Number,Departure Time,Arrival Time,Flight Time,Routing,,,Effective From,EffectiveTo
,,,,,,,Operations,No,,
Abu Dhabi,Varanasi,G8 6,23:30,10:45,09:45,Via BOM,Sa,G8 381,02/03/2023,02/05/2023
Abu Dhabi,Varanasi,G8 76,21:40,12:00,12:50,Via DEL,Daily,G8 184,02/03/2023,02/14/2023
Ahmedabad,Abu Dhabi,G8 244,07:05,22:30,16:55,Via BOM,Su,G8 5,02/03/2023,02/15/2023
Ahmedabad,Abu Dhabi,G8 2505,15:05,22:30,08:55,Via BOM,"M,Tu,Th,F,Sa",G8 5,02/03/2023,02/15/2023
Ahmedabad,Abu Dhabi,G8 459,09:25,22:30,14:35,Via BOM,Daily,G8 5,02/03/2023,02/15/2023
Ahmedabad,Abu Dhabi,G8 720,08:30,20:40,13:40,Via DEL,Daily,G8 75,02/03/2023,02/15/2023
Ahmedabad,Abu Dhabi,G8 2505,15:05,22:30,08:55,Via BOM,Su,G8 5,02/03/2023,03/19/2023
Ahmedabad,Abu Dhabi,G8 392,05:45,22:30,18:15,Via BOM,"M,W,Th,Sa,Su",G8 5,02/03/2023,03/25/2023
Ahmedabad,Amritsar,G8 413,21:10,08:25,11:15,Via BOM,"M,W,Th,F,Sa,Su",G8 2411,02/03/2023,02/14/2023
Ahmedabad,Amritsar,G8 413,21:10,08:20,11:10,Via BOM,Tu,G8 2411,02/03/2023,02/14/2023
Ahmedabad,Amritsar,G8 537,20:10,08:20,12:10,Via BOM,Tu,G8 2411,02/03/2023,02/14/2023
Ahmedabad,Amritsar,G8 537,20:10,08:25,12:15,Via BOM,"M,W,Th,F,Sa,Su",G8 2411,02/03/2023,02/14/2023
Ahmedabad,Amritsar,G8 244,07:05,20:35,13:30,Via BOM,Su,G8 2417,02/03/2023,02/15/2023
Ahmedabad,Amritsar,G8 2505,15:05,20:35,05:30,Via BOM,Su,G8 2417,02/03/2023,02/15/2023
Ahmedabad,Amritsar,G8 392,05:45,20:35,14:50,Via BOM,"M,Th",G8 2417,02/03/2023,02/15/2023
Ahmedabad,Amritsar,G8 392,05:45,20:35,14:50,Via BOM,"Sa,Su",G8 2417,02/03/2023,02/15/2023
Ahmedabad,Amritsar,G8 459,09:25,20:35,11:10,Via BOM,"M,Tu,Th,F,Sa,Su",G8 2417,02/03/2023,02/15/2023
Ahmedabad,Amritsar,G8 459,09:25,21:20,11:55,Via BOM,W,G8 2417,02/03/2023,02/15/2023
Ahmedabad,Bagdogra,G8 714,23:15,14:25,15:10,Via DEL,"M,Tu,W,Th,Sa,Su",G8 153,02/04/2023,02/09/2023
Ahmedabad,Bagdogra,G8 720,08:30,14:25,05:55,Via DEL,"M,Tu,W,Th,F,Su",G8 153,02/05/2023,02/10/2023
Ahmedabad,Bagdogra,G8 714,23:15,08:25,09:10,Via DEL,Daily,G8 263,02/03/2023,02/14/2023
Ahmedabad,Bagdogra,G8 718,19:35,08:25,12:50,Via DEL,"M,Tu,W,Th,F,Su",G8 263,02/03/2023,02/14/2023
Ahmedabad,Bagdogra,G8 718,18:55,08:25,13:30,Via DEL,Sa,G8 263,02/03/2023,02/14/2023
Ahmedabad,Bagdogra,G8 532,06:20,14:10,07:50,Via CCU,Daily,G8 538,02/03/2023,02/15/2023
Ahmedabad,Bangkok,G8 537,20:10,11:25,13:45,Via BOM,Daily,G8 25,02/03/2023,02/14/2023
Ahmedabad,Bangkok,G8 2505,15:05,11:25,18:50,Via BOM,"M,Tu,Th,F,Sa",G8 25,02/03/2023,02/15/2023
Ahmedabad,Bangkok,G8 413,21:10,11:25,12:45,Via BOM,Daily,G8 25,02/03/2023,02/15/2023
Ahmedabad,Bangkok,G8 714,23:15,13:00,12:15,Via DEL,Daily,G8 37,02/03/2023,02/15/2023
Ahmedabad,Bangkok,G8 718,19:35,13:00,15:55,Via DEL,"M,Tu,W,Th,F,Su",G8 37,02/03/2023,02/15/2023
Ahmedabad,Bangkok,G8 718,18:55,13:00,16:35,Via DEL,Sa,G8 37,02/03/2023,02/15/2023
Ahmedabad,Bangkok,G8 2505,15:05,11:25,18:50,Via BOM,Su,G8 25,02/03/2023,03/19/2023
Ahmedabad,Bengaluru,G8 2505,15:05,23:55,08:50,Via BOM,"M,Tu,Su",G8 325,02/05/2023,02/05/2023
Ahmedabad,Bengaluru,G8 459,09:25,23:55,14:30,Via BOM,"M,Tu,Su",G8 325,02/05/2023,02/05/2023
Ahmedabad,Bengaluru,G8 802,09:25,11:25,02:00,Non Stop,Daily,-,02/03/2023,02/06/2023
Ahmedabad,Bengaluru,G8 413,21:10,07:25,10:15,Via BOM,Daily,G8 317,02/03/2023,02/12/2023
Ahmedabad,Bengaluru,G8 537,20:10,07:25,11:15,Via BOM,Daily,G8 317,02/03/2023,02/12/2023
Ahmedabad,Bengaluru,G8 714,23:15,08:35,09:20,Via DEL,Daily,G8 113,02/03/2023,02/14/2023
Ahmedabad,Bengaluru,G8 718,19:35,08:35,13:00,Via DEL,"M,Tu,W,Th,F,Su",G8 113,02/03/2023,02/14/2023
Ahmedabad,Bengaluru,G8 718,18:55,08:35,13:40,Via DEL,Sa,G8 113,02/03/2023,02/14/2023
Ahmedabad,Bengaluru,G8 244,07:05,20:55,13:50,Via BOM,Su,G8 398,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 2505,15:05,20:55,05:50,Via BOM,"M,Tu,Th,F,Sa,Su",G8 398,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 2505,15:05,23:20,08:15,Via BOM,"Th,F,Sa",G8 325,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 3007,05:00,15:10,10:10,Via GOI,Sa,G8 286,02/04/2023,02/15/2023
Ahmedabad,Bengaluru,G8 3007,05:45,15:10,09:25,Via GOI,"M,Tu,W,Th,F,Su",G8 286,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 459,09:25,20:55,11:30,Via BOM,Daily,G8 398,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 459,09:25,23:20,13:55,Via BOM,"W,Th,F,Sa",G8 325,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 532,06:20,19:25,13:05,Via CCU,Daily,G8 888,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 720,08:30,21:45,13:15,Via DEL,Daily,G8 119,02/03/2023,02/15/2023
Ahmedabad,Bengaluru,G8 3002,08:00,21:35,13:35,Via LKO,Daily,G8 806,02/03/2023,03/25/2023
Ahmedabad,Bengaluru,G8 715,05:00,10:05,05:05,Via PNQ,Daily,G8 722,02/03/2023,03/25/2023
